cluster.id	value	variable	sample	epitope	sample.ind
cl5	1.26966323947267	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CD86	10
cl110	NA	median-channel-value	TCGA-06-0209-01A-01D-1491-08	CEAM1	154
cl121	0.292962278446152	median-channel-value	TCGA-04-1343-01A-01W-0486-08	CD1C	48
cl171	NA	median-channel-value	TCGA-05-4430-01A-02R-1206-07	CD40L	66
cl98	4.94945465099528	median-channel-value	TCGA-05-4384-01A-01D-1753-08	KI67	90
cl77	0	median-channel-value	TCGA-05-4425-01A-01R-1755-07	PD1L1	117
cl55	2.64078809294317	median-channel-value	TCGA-05-4397-01A-01R-1206-07	CD4	130
cl147	NA	median-channel-value	TCGA-04-1349-01A-01W-0492-08	CCR2	58
cl7	0.253351842059107	median-channel-value	TCGA-02-0047-01A-01D-1490-08	CTLA4	2
cl69	4.53907588596042	median-channel-value	TCGA-05-4390-01A-02D-1753-08	FCGR1	119
cl154	0	median-channel-value	TCGA-06-0210-01B-01D-1491-08	TBX21	146
cl87	0	median-channel-value	TCGA-05-4424-01A-22D-1855-08	KI67	111
cl50	0.16443171674898	median-channel-value	TCGA-04-1649-01A-01W-0639-09	FOXP3	40
cl55	0.0013	popsize	TCGA-05-4403-01A-01R-1206-07	NA	95
cl106	0.0384283160028132	median-channel-value	TCGA-05-4430-01A-02D-1265-08	KIT	68
cl34	0	median-channel-value	TCGA-04-1360-01A-01W-0492-08	CTLA4	51
cl163	NA	median-channel-value	TCGA-05-4398-01A-01R-1206-07	CD4	76
cl160	4.21480451643816	median-channel-value	TCGA-05-5428-01A-01R-1628-07	CD3E	94
cl118	1.7144773248785	median-channel-value	TCGA-05-4244-01A-01R-1107-07	KI67	64
cl16	0	median-channel-value	TCGA-05-4402-01A-01R-1206-07	NCAM1	71
cl107	0.948235609875788	median-channel-value	TCGA-04-1347-01A-01W-0488-09	FOXP3	20
cl98	0	median-channel-value	TCGA-06-0190-02A-01R-2005-01	CD1C	158
cl69	0.488025584648211	median-channel-value	TCGA-05-4402-01A-01R-1206-07	FCERA	71
cl30	0	median-channel-value	TCGA-04-1652-01A-01W-0639-09	CCR7	21
cl109	0	median-channel-value	TCGA-05-4426-01A-01D-1265-08	ITAX	72
cl181	NA	median-channel-value	TCGA-04-1655-01A-01W-0633-09	MRC1	22
cl9	0	median-channel-value	TCGA-04-1655-01A-01R-1566-13	CEAM1	56
cl4	0	median-channel-value	TCGA-06-1800-01A-01W-0643-08	NCAM1	132
cl141	0.737721051978606	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CD40L	10
cl31	2.99405160967991	median-channel-value	TCGA-05-4415-01A-22D-1855-08	IL7RA	84
cl154	NA	median-channel-value	TCGA-05-5420-01A-01R-1628-07	FCG3A	113
cl37	0	median-channel-value	TCGA-05-4390-01A-02D-1753-08	KIT	119
cl159	NA	median-channel-value	TCGA-06-0238-01A-02R-1849-01	CCR7	152
cl108	4.35642516046801	median-channel-value	TCGA-06-0210-01B-01D-1491-08	CD38	146
cl105	0	median-channel-value	TCGA-04-1519-01A-01R-1565-13	NCAM1	19
cl144	4.15962760021344	median-channel-value	TCGA-04-1516-01A-01D-1526-09	CD33	52
cl114	0	median-channel-value	TCGA-06-0649-01B-01R-1849-01	HAVR2	134
cl31	0.018394802718833	median-channel-value	TCGA-04-1361-01A-01R-1565-13	ITAX	50
cl157	0.211755484828853	median-channel-value	TCGA-06-0747-01A-01R-1849-01	ITAX	159
cl75	0.0065285779626487	median-channel-value	TCGA-05-4398-01A-01R-1206-07	IL7RA	76
cl14	0.841508423427796	median-channel-value	TCGA-05-4244-01A-01R-1107-07	ITAM	64
cl129	3.27005017969362	median-channel-value	TCGA-04-1341-01A-01W-0486-08	TBX21	38
cl92	3.83400857762806	median-channel-value	TCGA-05-4420-01A-01R-1206-07	CD7	116
cl115	1.05633408165482	median-channel-value	TCGA-05-4434-01A-01D-1265-08	CD86	98
cl145	5.35329069198404	median-channel-value	TCGA-05-4396-01A-21R-1858-07	ITAX	120
cl71	0	median-channel-value	TCGA-04-1542-01A-01W-0553-09	CD4	47
cl105	0	median-channel-value	TCGA-06-0128-01A-01D-1490-08	CD14	147
cl120	1.04110840226055	median-channel-value	TCGA-04-1356-01A-01R-1569-13	FCG3A	30
cl16	0.0601048909070792	median-channel-value	TCGA-06-0185-01A-01D-1491-08	PDCD1	145
cl100	0	median-channel-value	TCGA-04-1332-01A-01R-1564-13	IL2RA	37
cl72	5.26910970101457	median-channel-value	TCGA-05-4396-01A-21R-1858-07	FCG3A	120
cl140	NA	median-channel-value	TCGA-04-1346-01A-01W-0486-08	PTPRC/CD45RA	41
cl173	NA	median-channel-value	TCGA-05-4396-01A-21R-1858-07	PD1L1	120
cl127	3.46227958622534	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD86	107
cl146	2.68045418429019	median-channel-value	TCGA-05-4426-01A-01R-1206-07	CEAM1	102
cl89	NA	median-channel-value	TCGA-02-0055-01A-01D-1490-08	TRBM	9
cl175	2.89935835192723	median-channel-value	TCGA-05-4384-01A-01R-1755-07	CEAM1	86
cl143	1.18806211358174	median-channel-value	TCGA-06-5859-01A-01R-1849-01	IL7RA	139
cl94	1.36012983887249	median-channel-value	TCGA-04-1360-01A-01W-0492-08	CD86	51
cl79	0	median-channel-value	TCGA-05-4415-01A-22R-1858-07	IL3RA	105
cl84	0.0071	popsize	TCGA-05-4384-01A-01R-1755-07	NA	86
cl100	0.207753281978588	median-channel-value	TCGA-06-0190-02A-01R-2005-01	FOXP3	158
cl135	NA	median-channel-value	TCGA-05-4427-01A-21D-1855-08	CD3E	123
cl74	4.04582234937203	median-channel-value	TCGA-05-4432-01A-01D-1265-08	IL7RA	73
cl128	1.60485030537286	median-channel-value	TCGA-05-4432-01A-01D-1265-08	CD40L	73
cl154	0.20755491831947	median-channel-value	TCGA-04-1542-01A-01W-0553-09	CD14	47
cl85	0.476654179360622	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	CD38	135
cl110	0	median-channel-value	TCGA-04-1360-01A-01W-0492-08	FCG3A	51
cl41	0.256686331791649	median-channel-value	TCGA-06-0238-01A-02R-1849-01	CD86	152
cl37	0.0633272194866966	median-channel-value	TCGA-05-5425-01A-02D-1625-08	IL3RA	100
cl185	NA	median-channel-value	TCGA-06-1805-01A-01W-0643-08	PDCD1	136
cl21	0.201147148957556	median-channel-value	TCGA-04-1356-01A-01W-0492-08	HAVR2	49
cl113	2.44586609874867	median-channel-value	TCGA-05-4403-01A-01R-1206-07	CD7	95
cl83	0	median-channel-value	TCGA-04-1364-01A-01R-1565-13	CD33	35
cl162	NA	median-channel-value	TCGA-05-4244-01A-01R-1107-07	IL7RA	64
cl191	NA	median-channel-value	TCGA-06-0649-01B-01R-1849-01	CD14	134
cl3	NA	median-channel-value	TCGA-05-4403-01A-01D-1265-08	IL3RA	83
cl99	NA	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CD1C	78
cl40	0.378218122443205	median-channel-value	TCGA-05-4402-01A-01R-1206-07	TBX21	71
cl122	0.96267490586983	median-channel-value	TCGA-06-5859-01A-01R-1849-01	TRBM	139
cl79	0.0580377024471202	median-channel-value	TCGA-04-1530-01A-02R-1569-13	ITAX	33
cl161	NA	median-channel-value	TCGA-05-5420-01A-01D-1625-08	FCERA	65
cl6	0.0435024336638132	median-channel-value	TCGA-05-4405-01A-21R-1858-07	FCGR1	104
cl44	3.23036805976067	median-channel-value	TCGA-04-1362-01A-01W-0492-08	CD27	34
cl60	0.365427451098577	median-channel-value	TCGA-05-4397-01A-01R-1206-07	ITAX	130
cl56	0	median-channel-value	TCGA-04-1349-01A-01W-0492-08	CD7	58
cl166	0	median-channel-value	TCGA-06-0241-01A-02D-1491-08	NCAM1	137
cl64	0	median-channel-value	TCGA-05-5423-01A-01R-1628-07	IL2RA	93
cl87	0.060579891642437	median-channel-value	TCGA-02-2470-01A-01D-1494-08	TBX21	14
cl178	NA	median-channel-value	TCGA-05-4415-01A-22D-1855-08	FCERA	84
cl103	0.623952590625971	median-channel-value	TCGA-04-1350-01A-01R-1565-13	FCG3A	29
cl123	2.70892571612102	median-channel-value	TCGA-04-1331-01A-01R-1569-13	NCAM1	44
cl63	0.0023	popsize	TCGA-05-4417-01A-22R-1858-07	NA	122
cl191	NA	median-channel-value	TCGA-04-1357-01A-01R-1565-13	CTLA4	24
cl187	NA	median-channel-value	TCGA-05-4403-01A-01R-1206-07	PD1L1	95
cl100	3.01912947639182	median-channel-value	TCGA-02-2466-01A-01W-0837-08	CD4	10
cl81	3.76386834257806	median-channel-value	TCGA-05-4424-01A-22R-1858-07	CD3E	77
cl184	1.4227683688659	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD4	107
cl142	1.21553999427802	median-channel-value	TCGA-05-4250-01A-01D-1105-08	CD3E	131
cl79	1.54683562384347	median-channel-value	TCGA-02-0047-01A-01D-1490-08	IL2RA	2
cl31	0.203530392537466	median-channel-value	TCGA-04-1530-01A-02R-1569-13	PD1L1	33
cl31	0.313494392356367	median-channel-value	TCGA-05-4396-01A-21D-1855-08	ITAM	125
cl81	0.881633138153211	median-channel-value	TCGA-04-1369-01A-02D-1526-09	CD8A	23
cl93	0	median-channel-value	TCGA-04-1336-01A-01W-0486-08	NCAM1	31
cl166	0.0032	popsize	TCGA-04-1357-01A-01W-0492-08	NA	55
cl27	0.451382381235529	median-channel-value	TCGA-06-0649-01B-01D-1492-08	CCR7	151
cl75	0	median-channel-value	TCGA-04-1530-01A-02R-1569-13	FCG3A	33
cl153	NA	median-channel-value	TCGA-04-1530-01A-02R-1569-13	CCR7	33
cl171	NA	median-channel-value	TCGA-05-4405-01A-21D-1855-08	CD19	110
cl43	0	median-channel-value	TCGA-05-4433-01A-22R-1858-07	CD4	108
cl138	0.0025	popsize	TCGA-02-2466-01A-01W-0837-08	NA	10
cl175	1.48349201804875	median-channel-value	TCGA-05-4432-01A-01R-1206-07	FCGR1	74
cl93	0.1125308880914	median-channel-value	TCGA-04-1350-01A-01R-1565-13	IL2RA	29
cl97	0	median-channel-value	TCGA-06-5411-01A-01D-1696-08	CD1C	160
cl196	0	median-channel-value	TCGA-05-5425-01A-02R-1628-07	FCGR1	78
cl198	NA	median-channel-value	TCGA-02-2470-01A-01D-1494-08	IL7RA	14
cl83	0.336973013490303	median-channel-value	TCGA-05-4382-01A-01R-1206-07	KIT	79
cl99	3.68105329814426	median-channel-value	TCGA-05-4390-01A-02D-1753-08	CD8A	119
cl171	0.290810121422522	median-channel-value	TCGA-05-4433-01A-22D-1855-08	CD40L	88
cl119	0	popsize	TCGA-05-4405-01A-21R-1858-07	NA	104
cl93	0.292972494294397	median-channel-value	TCGA-06-0137-01A-01D-1490-08	FCERA	161
cl44	0	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	CD33	135
cl94	NA	median-channel-value	TCGA-05-4417-01A-22D-1855-08	CD27	70
cl140	0	median-channel-value	TCGA-06-0939-01A-01D-1353-08	IL2RA	162
cl5	0	median-channel-value	TCGA-02-2483-01A-01D-1494-08	FCERA	8
cl21	3.16005403637142	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD38	107
cl120	0	median-channel-value	TCGA-06-0645-01A-01R-1849-01	FCGR1	133
cl39	3.19068773277263	median-channel-value	TCGA-05-5423-01A-01R-1628-07	CD27	93
cl87	NA	median-channel-value	TCGA-02-2485-01A-01R-1849-01	CCR2	4
cl174	0.267478364493123	median-channel-value	TCGA-05-4390-01A-02D-1753-08	PTPRC/CD45RA	119
cl146	0.0155283074693169	median-channel-value	TCGA-02-0047-01A-01R-1849-01	PD1L1	12
cl177	4.12102647673584	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CD27	55
cl160	NA	median-channel-value	TCGA-05-4405-01A-21R-1858-07	CD86	104
cl15	0.812903327040724	median-channel-value	TCGA-06-0681-11A-41R-A36H-07	DRA	155
cl93	1.70097024893256	median-channel-value	TCGA-04-1362-01A-01R-1565-13	CD38	17
cl27	0.113325061479229	median-channel-value	TCGA-04-1648-01A-01R-1567-13	HAVR2	59
cl3	0	median-channel-value	TCGA-05-5420-01A-01R-1628-07	MRC1	113
cl93	3.53547813782288	median-channel-value	TCGA-06-2566-01A-01W-0837-08	ITAM	149
cl34	0.802497552814686	median-channel-value	TCGA-05-5423-01A-01D-1625-08	TRBM	85
cl148	NA	median-channel-value	TCGA-04-1347-01A-01R-1564-13	CD38	18
cl89	0.424428689252847	median-channel-value	TCGA-06-0876-01A-01D-1492-08	FCG3A	156
cl155	0	median-channel-value	TCGA-05-5428-01A-01D-1625-08	IL2RA	109
cl188	NA	median-channel-value	TCGA-04-1364-01A-01R-1565-13	FCGR1	35
cl46	0.991002643360089	median-channel-value	TCGA-04-1542-01A-01W-0553-09	PDCD1	47
cl27	0	median-channel-value	TCGA-06-5412-01A-01R-1849-01	CD27	141
cl51	0	median-channel-value	TCGA-04-1357-01A-01W-0492-08	CCR7	55
cl158	0.572959069282597	median-channel-value	TCGA-05-4398-01A-01D-1265-08	CEAM1	97
cl152	2.86920650291663	median-channel-value	TCGA-05-5425-01A-02R-1628-07	CD38	78
cl172	NA	median-channel-value	TCGA-06-0882-01A-01D-1492-08	TBX21	143
cl181	0	popsize	TCGA-05-5420-01A-01R-1628-07	NA	113
cl190	NA	median-channel-value	TCGA-04-1638-01A-01W-0639-09	TNR5	61
cl64	0	median-channel-value	TCGA-05-4396-01A-21R-1858-07	CTLA4	120
cl79	0	median-channel-value	TCGA-05-4250-01A-01D-1105-08	TRBM	131
cl15	0	median-channel-value	TCGA-06-0876-01A-01D-1492-08	HAVR2	156
cl116	4.00818757477965	median-channel-value	TCGA-04-1652-01A-01W-0639-09	CD38	21
cl170	4.71429710538774	median-channel-value	TCGA-06-0185-01A-01D-1491-08	CD14	145
cl102	0	median-channel-value	TCGA-04-1530-01A-02R-1569-13	TNR5	33
cl35	0	median-channel-value	TCGA-04-1332-01A-01R-1564-13	HAVR2	37
cl47	2.70748094172009	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CD7	96
cl67	4.08206019067006	median-channel-value	TCGA-06-2557-01A-01R-1849-01	IL7RA	157
cl89	2.32252943385158	median-channel-value	TCGA-05-4426-01A-01D-1265-08	CD38	72
cl7	0.0214606396555098	median-channel-value	TCGA-04-1655-01A-01W-0633-09	TNR5	22
cl1	0	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CD40L	15
cl179	NA	median-channel-value	TCGA-04-1649-01A-01W-0639-09	FCERA	40
cl130	NA	median-channel-value	TCGA-05-4432-01A-01D-1265-08	FCG3A	73
cl170	NA	median-channel-value	TCGA-04-1369-01A-02D-1526-09	CD7	23
cl51	4.57754548811183	median-channel-value	TCGA-05-4384-01A-01D-1753-08	FCG3A	90
cl164	NA	median-channel-value	TCGA-05-4405-01A-21R-1858-07	KI67	104
cl63	0.603196803636572	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD8A	68
cl113	0	median-channel-value	TCGA-02-2470-01A-01D-1494-08	NCAM1	14
cl146	1.38370099302992	median-channel-value	TCGA-02-2470-01A-01D-1494-08	ITAM	14
cl75	4.58202755166222	median-channel-value	TCGA-04-1342-01A-01W-0486-08	CCR2	45
cl75	3.96039688845306	median-channel-value	TCGA-05-5423-01A-01D-1625-08	CD38	85
cl85	0.0172427499353424	median-channel-value	TCGA-04-1347-01A-01R-1564-13	HAVR2	18
cl172	NA	median-channel-value	TCGA-05-4425-01A-01R-1755-07	CCR7	117
cl156	4.74670514865502	median-channel-value	TCGA-06-0189-01A-01D-1491-08	ITAM	163
cl161	NA	median-channel-value	TCGA-05-4249-01A-01D-1105-08	PD1L1	67
cl1	1.68507255061695	median-channel-value	TCGA-05-4434-01A-01D-1265-08	CD7	98
cl139	1.73134392607144	median-channel-value	TCGA-04-1651-01A-01W-0639-09	CD8A	28
cl93	2.98591151696629	median-channel-value	TCGA-06-0238-01A-02R-1849-01	TRBM	152
cl160	NA	median-channel-value	TCGA-04-1648-01A-01R-1567-13	CEAM1	59
cl185	0.620069865356658	median-channel-value	TCGA-04-1646-01A-01W-0639-09	TBX21	26
cl29	0.0957170715303266	median-channel-value	TCGA-04-1644-01B-01D-1526-09	CD19	25
cl29	0	median-channel-value	TCGA-05-4250-01A-01D-1105-08	CD1C	131
cl121	0.280645489739175	median-channel-value	TCGA-05-4415-01A-22D-1855-08	CD1C	84
cl18	0.0199432246240035	median-channel-value	TCGA-04-1353-01A-01D-1526-09	PD1L1	27
cl161	0	median-channel-value	TCGA-04-1361-01A-01W-0492-08	KIT	54
cl191	NA	median-channel-value	TCGA-04-1542-01A-01R-1566-13	CD86	63
cl46	3.47284108102484	median-channel-value	TCGA-05-4398-01A-01D-1265-08	CD4	97
cl63	0.0072	popsize	TCGA-06-2566-01A-01W-0837-08	NA	149
cl125	1.77002688320368	median-channel-value	TCGA-04-1362-01A-01R-1565-13	FCG3A	17
cl49	0	median-channel-value	TCGA-05-5715-01A-01D-1625-08	TRBM	82
cl54	0	median-channel-value	TCGA-06-0241-01A-02D-1491-08	CD1C	137
cl98	NA	median-channel-value	TCGA-04-1362-01A-01W-0492-08	CD86	34
cl200	1.52495603918242	median-channel-value	TCGA-05-4430-01A-02D-1265-08	CD1C	68
cl35	0.362131248959718	median-channel-value	TCGA-05-4249-01A-01D-1105-08	PTPRC/CD45RA	67
cl4	0	median-channel-value	TCGA-05-4426-01A-01D-1265-08	KI67	72
cl87	0.0540625573498079	median-channel-value	TCGA-02-0047-01A-01D-1490-08	TBX21	2
cl193	NA	median-channel-value	TCGA-04-1349-01A-01W-0492-08	CD86	58
cl42	0.555933154342824	median-channel-value	TCGA-04-1343-01A-01R-1564-13	CD8A	15
cl160	0.0465724771950439	median-channel-value	TCGA-05-5429-01A-01R-1628-07	NCAM1	121
cl110	0	median-channel-value	TCGA-05-4420-01A-01R-1206-07	TNR5	116
cl37	0.586547690066988	median-channel-value	TCGA-05-4415-01A-22D-1855-08	PTPRC/CD45RA	84
cl130	0.00289778714436249	popsize	TCGA-05-4390-01A-02R-1755-07	NA	107
cl80	0.874297594112165	median-channel-value	TCGA-02-2483-01A-01D-1494-08	FCG3A	8
cl72	0.0836906462126234	median-channel-value	TCGA-06-2563-01A-01D-1494-08	CD19	164
cl145	NA	median-channel-value	TCGA-04-1336-01A-01W-0486-08	CD1C	31
cl174	NA	median-channel-value	TCGA-04-1536-01A-01R-1566-13	CD33	36
cl136	2.00142469997515	median-channel-value	TCGA-02-0033-01A-01D-1490-08	CD1C	13
cl157	0	median-channel-value	TCGA-05-5425-01A-02D-1625-08	FCG3A	100
cl6	0	median-channel-value	TCGA-06-2563-01A-01R-1849-01	FCGR1	140
cl6	0.0021	popsize	TCGA-06-5412-01A-01R-1849-01	NA	141
cl125	0.42415986481235	median-channel-value	TCGA-06-0876-01A-01D-1492-08	FCERA	156
cl4	2.81817434629975	median-channel-value	TCGA-06-5418-01A-01D-1486-08	DRA	138
cl165	NA	median-channel-value	TCGA-02-2486-01A-01R-1849-01	CD14	6
cl92	0.9554853268792	median-channel-value	TCGA-06-0238-01A-02R-1849-01	TBX21	152
cl60	0	median-channel-value	TCGA-06-0876-01A-01D-1492-08	DRA	156
cl12	4.34645610216757	median-channel-value	TCGA-05-4395-01A-01D-1265-08	DRA	126
cl141	2.31098910772311	median-channel-value	TCGA-04-1655-01A-01R-1566-13	CD38	56
cl114	1.16735777219346	median-channel-value	TCGA-04-1360-01A-01W-0492-08	FCG3A	51
cl134	NA	median-channel-value	TCGA-04-1542-01A-01W-0553-09	ITAM	47
cl13	0	median-channel-value	TCGA-02-2466-01A-01W-0837-08	IL3RA	10
cl6	0.534622929063037	median-channel-value	TCGA-05-4390-01A-02R-1755-07	CD3E	107
cl126	0.179890512451653	median-channel-value	TCGA-05-4398-01A-01D-1265-08	CD1C	97
cl33	0	median-channel-value	TCGA-06-0939-01A-01D-1353-08	CD27	162
cl124	3.83489944141091	median-channel-value	TCGA-04-1356-01A-01W-0492-08	FCERA	49
cl33	2.09325208735835	median-channel-value	TCGA-04-1356-01A-01W-0492-08	DRA	49
cl148	4.20126073376495	median-channel-value	TCGA-05-4384-01A-01R-1755-07	CCR2	86
cl71	0.297077268338501	median-channel-value	TCGA-04-1349-01A-01W-0492-08	NCAM1	58
cl116	3.36290651928261	median-channel-value	TCGA-04-1341-01A-01W-0486-08	DRA	38
cl137	0.089955265254321	median-channel-value	TCGA-05-4410-01A-21R-1858-07	HAVR2	89
cl93	5.13412270953623	median-channel-value	TCGA-05-4405-01A-21R-1858-07	FCG3A	104
cl141	3.50702397841472	median-channel-value	TCGA-02-0055-01A-01R-1849-01	PTPRC/CD45RA	7
cl172	NA	median-channel-value	TCGA-06-0649-01B-01R-1849-01	CD14	134
cl11	0	median-channel-value	TCGA-05-4427-01A-21R-1858-07	CCR7	115
cl158	0.0187826824856096	median-channel-value	TCGA-04-1341-01A-01R-1564-13	CD14	39
cl189	NA	median-channel-value	TCGA-06-1804-01A-01D-1696-08	IL3RA	148
cl56	0.632098295445569	median-channel-value	TCGA-06-0649-01B-01R-1849-01	CD19	134
cl60	0	median-channel-value	TCGA-05-4405-01A-21D-1855-08	IL2RA	110
cl147	0	median-channel-value	TCGA-05-4396-01A-21R-1858-07	IL7RA	120
cl163	0.645517004807822	median-channel-value	TCGA-02-0003-01A-01D-1490-08	FCERA	11
cl150	NA	median-channel-value	TCGA-05-4434-01A-01R-1206-07	CTLA4	96
cl27	1.06826734052248	median-channel-value	TCGA-02-2486-01A-01R-1849-01	CD8A	6
cl7	0.550764710797936	median-channel-value	TCGA-05-4405-01A-21R-1858-07	MRC1	104
cl147	NA	median-channel-value	TCGA-04-1356-01A-01R-1569-13	CD3E	30
cl128	0.016231129782644	median-channel-value	TCGA-05-5429-01A-01R-1628-07	KIT	121
cl28	0	median-channel-value	TCGA-06-0209-01A-01D-1491-08	CTLA4	154
cl167	NA	median-channel-value	TCGA-05-5429-01A-01D-1625-08	CCR2	75
cl152	0.471927952987728	median-channel-value	TCGA-02-2483-01A-01R-1849-01	PD1L1	1
cl141	1.0615194489074	median-channel-value	TCGA-06-0241-01A-02D-1491-08	CD33	137
cl16	0	median-channel-value	TCGA-05-5420-01A-01D-1625-08	KI67	65
cl91	0	median-channel-value	TCGA-06-0645-01A-01R-1849-01	MRC1	133
cl1	0	median-channel-value	TCGA-05-4420-01A-01R-1206-07	IL3RA	116
cl38	0	median-channel-value	TCGA-05-4422-01A-01D-1265-08	CD33	91
cl65	0	median-channel-value	TCGA-05-4398-01A-01D-1265-08	CD7	97
cl66	0	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	KI67	144
cl146	0.144352870285192	median-channel-value	TCGA-05-4389-01A-01R-1206-07	ITAX	103
cl123	NA	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	IL2RA	135
cl33	0.130067651539748	median-channel-value	TCGA-04-1362-01A-01W-0492-08	HAVR2	34
cl34	0.0558761011408558	median-channel-value	TCGA-06-0645-01A-01R-1849-01	CD38	133
cl187	0	median-channel-value	TCGA-06-0648-01A-01D-1492-08	FCERA	165
cl199	NA	median-channel-value	TCGA-05-4390-01A-02D-1753-08	CD38	119
cl117	NA	median-channel-value	TCGA-06-0645-01A-01R-1849-01	FOXP3	133
cl150	NA	median-channel-value	TCGA-06-0939-01A-01D-1353-08	TNR5	162
cl134	NA	median-channel-value	TCGA-06-1800-01A-01W-0643-08	ITAX	132
cl143	0.784943348754957	median-channel-value	TCGA-04-1651-01A-01R-1567-13	FOXP3	62
cl168	NA	median-channel-value	TCGA-04-1350-01A-01R-1565-13	ITAM	29
cl76	0	median-channel-value	TCGA-05-4427-01A-21D-1855-08	IL2RA	123
cl52	0.136468677861605	median-channel-value	TCGA-06-2566-01A-01W-0837-08	PD1L1	149
cl28	0	median-channel-value	TCGA-05-4410-01A-21R-1858-07	CD7	89
cl198	0.062465336060232	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD40L	32
cl122	0.136565220702803	median-channel-value	TCGA-05-5420-01A-01D-1625-08	CCR7	65
cl52	0.515490331128804	median-channel-value	TCGA-05-4398-01A-01R-1206-07	HAVR2	76
cl108	0	median-channel-value	TCGA-04-1648-01A-01R-1567-13	CTLA4	59
cl172	NA	median-channel-value	TCGA-04-1542-01A-01W-0553-09	PDCD1	47
cl189	0.597819354951693	median-channel-value	TCGA-02-2486-01A-01D-1494-08	FCGR1	3
cl17	0	median-channel-value	TCGA-05-4244-01A-01D-1105-08	FCGR1	118
cl127	1.6076953960536	median-channel-value	TCGA-06-0882-01A-01D-1492-08	PD1L1	143
cl133	NA	median-channel-value	TCGA-06-5418-01A-01D-1486-08	ITAX	138
cl106	1.43648395157269	median-channel-value	TCGA-05-4250-01A-01R-1107-07	ITAX	101
cl198	NA	median-channel-value	TCGA-05-4397-01A-01D-1265-08	PD1L1	129
cl121	0.0016976621911159	median-channel-value	TCGA-04-1367-01A-01W-0492-08	CD27	32
cl178	NA	median-channel-value	TCGA-04-1343-01A-01W-0486-08	CTLA4	48
cl151	0.255228489053701	median-channel-value	TCGA-05-5420-01A-01D-1625-08	ITAM	65
cl40	0.0164426312048439	median-channel-value	TCGA-06-0189-01A-01D-1491-08	HAVR2	163
cl114	2.33390110752234	median-channel-value	TCGA-05-5425-01A-02D-1625-08	CD38	100
cl160	0.169997548305072	median-channel-value	TCGA-04-1348-01A-01W-0492-08	ITAX	46
cl18	0.869692719585201	median-channel-value	TCGA-06-0185-01A-01D-1491-08	CCR2	145
cl47	0	median-channel-value	TCGA-02-2486-01A-01R-1849-01	TRBM	6
cl169	NA	median-channel-value	TCGA-04-1365-01A-01R-1565-13	ITAX	57
cl127	5.01062073665009	median-channel-value	TCGA-06-0747-01A-01R-1849-01	CD33	159
cl77	0	median-channel-value	TCGA-04-1332-01A-01R-1564-13	MRC1	37
cl96	0	median-channel-value	TCGA-05-5425-01A-02D-1625-08	CCR7	100
cl5	0	median-channel-value	TCGA-06-AABW-11A-31R-A36H-07	FCG3A	135
cl22	1.1767426723262	median-channel-value	TCGA-05-4244-01A-01D-1105-08	PTPRC/CD45RA	118
cl78	0	median-channel-value	TCGA-04-1331-01A-01R-1569-13	IL2RA	44
cl180	NA	median-channel-value	TCGA-04-1648-01A-01W-0639-09	CD14	16
cl118	0.125524879795304	median-channel-value	TCGA-05-5428-01A-01R-1628-07	TBX21	94
cl8	0.218185488766202	median-channel-value	TCGA-06-0675-11A-32R-A36H-07	TNR5	144
cl77	0	median-channel-value	TCGA-04-1342-01A-01W-0486-08	CTLA4	45
cl132	5.37468842401062	median-channel-value	TCGA-06-0190-02A-01R-2005-01	CD38	158
cl160	NA	median-channel-value	TCGA-06-0645-01A-01R-1849-01	HAVR2	133
cl68	0.00239976153414275	median-channel-value	TCGA-04-1350-01A-01R-1565-13	TNR5	29
cl25	NA	median-channel-value	TCGA-02-2486-01A-01D-1494-08	TRBM	3
cl10	3.57461436187665	median-channel-value	TCGA-05-4402-01A-01R-1206-07	ITAM	71
cl45	0	median-channel-value	TCGA-04-1341-01A-01W-0486-08	HAVR2	38
cl150	0.270702501378989	median-channel-value	TCGA-05-5715-01A-01D-1625-08	DRA	82
cl23	0.150209493827321	median-channel-value	TCGA-05-4410-01A-21D-1855-08	CD1C	127
cl116	0.611325580579534	median-channel-value	TCGA-05-4433-01A-22D-1855-08	IL3RA	88
cl133	0	median-channel-value	TCGA-05-4424-01A-22D-1855-08	NCAM1	111
cl51	2.79727202134656	median-channel-value	TCGA-05-4415-01A-22R-1858-07	ITAM	105
cl24	0.243339750911752	median-channel-value	TCGA-05-5420-01A-01D-1625-08	CD14	65
cl79	NA	median-channel-value	TCGA-05-4382-01A-01D-1931-08	CCR2	114
